id,axis,question,optionA,optionB
q1,axis1,お客様との会話で、あなたは？,A. 積極的に話題を振って、場を盛り上げる,B. 相手の話をじっくり聞き、相槌で深掘りする
q2,axis1,卓が静かになってしまった時、あなたは？,A. すぐに新しい話題やゲームを提案する,B. お客様が話し出すのを待つ
q3,axis1,初めてのお客様についた時、あなたは？,A. 自分からアピールする,B. 相手の出方に合わせる
q4,axis2,あなたが重視するのは？,A. 「女性」としての魅力や、ドキッとさせる言動,B. 「人」としての面白さや、楽な空気感
q5,axis2,お客様を褒めるとき,A. 「男らしいですね」「好き」,B. 「仕事できますね」「面白い」
q6,axis2,理想の関係は？,A. 疑似恋愛に近い関係,B. 気の合う友達やパートナーのような関係
q7,axis3,お客様との距離の取り方は？,A. 早くタメ口やあだ名で呼び、親密さを出す,B. 丁寧な言葉遣いを保ち、プロの品格を出す
q8,axis3,自分のプライベートな話は？,A. 弱みや失敗談も話し、共感を誘う,B. あまり詳しくは話さず、ミステリアスさを残す
q9,axis3,ボディタッチは？,A. 積極的に行うほうだ,B. 基本的には行わないほうだ
q10,axis4,営業（連絡）のスタイルは？,A. 「ここぞ」という時に送る,B. 短くてもマメに連絡を続ける
q11,axis4,得意な売上の上げ方は？,A. イベントで一気に高額を使ってもらう,B. コツコツと定期的に通ってもらう
q12,axis4,重視するのは？,A. 接客中の「インパクト」,B. 接客外の「継続性」
